time	V(c,n)
3.21543e-02	1.90355e+01
3.21550e-02	1.92681e+01
3.21997e-02	4.86205e+01
3.22453e-02	3.30628e+01
3.22460e-02	3.33125e+01
3.22877e-02	6.15692e+01
3.23591e-02	3.84955e+01
3.24283e-02	1.73837e+01
3.24783e-02	2.99285e+00
3.24790e-02	3.29236e+00
3.25117e-02	2.71988e+01
3.25683e-02	1.21738e+01
3.25690e-02	1.24779e+01
3.25977e-02	3.40685e+01
3.26506e-02	2.09512e+01
3.27177e-02	5.22878e+00
3.27878e-02	-9.80722e+00
3.28033e-02	-1.29227e+01
3.28040e-02	-1.25804e+01
3.28247e-02	4.13875e+00
3.28816e-02	-6.65478e+00
3.28913e-02	-8.29250e+00
3.28920e-02	-7.93625e+00
3.29087e-02	5.89343e+00
3.29499e-02	-1.14271e+00
3.30230e-02	-1.26003e+01
