time	V(c,n)
1.30100e-02	-1.06056e+01
1.30527e-02	-1.67529e+01
1.30973e-02	-2.26897e+01
1.31273e-02	-2.63941e+01
1.31280e-02	-2.60050e+01
1.31353e-02	-1.95227e+01
1.31360e-02	-1.93694e+01
1.31917e-02	-2.54317e+01
1.32143e-02	-2.76650e+01
1.32150e-02	-2.72601e+01
1.32193e-02	-2.33609e+01
1.32200e-02	-2.31924e+01
1.32811e-02	-2.84764e+01
1.33340e-02	-3.23987e+01
1.33859e-02	-3.54638e+01
1.34473e-02	-3.83794e+01
1.34480e-02	-3.88785e+01
1.34513e-02	-4.23030e+01
1.34520e-02	-4.25640e+01
1.35077e-02	-4.42107e+01
1.35303e-02	-4.47225e+01
1.35310e-02	-4.52067e+01
1.35383e-02	-5.26639e+01
1.35390e-02	-5.29092e+01
1.35799e-02	-5.32257e+01
1.36450e-02	-5.29449e+01
1.37009e-02	-5.17666e+01
1.37583e-02	-4.99361e+01
1.37590e-02	-5.03809e+01
1.37753e-02	-6.61391e+01
1.37760e-02	-6.63435e+01
1.38326e-02	-6.34452e+01
1.38423e-02	-6.29098e+01
1.38430e-02	-6.33395e+01
1.38633e-02	-8.25195e+01
1.38640e-02	-8.27076e+01
1.39189e-02	-7.85185e+01
1.39610e-02	-7.47907e+01
1.40154e-02	-6.92227e+01
1.40683e-02	-6.33161e+01
1.40690e-02	-6.37058e+01
1.40983e-02	-8.97213e+01
1.40990e-02	-8.98688e+01
1.41543e-02	-8.25791e+01
1.41550e-02	-8.29536e+01
1.41873e-02	-1.10888e+02
1.41880e-02	-1.11018e+02
1.42302e-02	-1.04340e+02
1.42770e-02	-9.64027e+01
1.43316e-02	-8.63550e+01
1.43793e-02	-7.71769e+01
1.43800e-02	-7.75110e+01
1.44203e-02	-1.10077e+02
1.44210e-02	-1.10167e+02
1.44675e-02	-1.00323e+02
1.44680e-02	-1.00605e+02
1.45123e-02	-1.35380e+02
1.45130e-02	-1.35453e+02
1.45539e-02	-1.25618e+02
1.45920e-02	-1.16087e+02
1.46460e-02	-1.01883e+02
1.46893e-02	-9.01778e+01
1.46900e-02	-9.04583e+01
1.47423e-02	-1.28696e+02
1.47430e-02	-1.28732e+02
1.47803e-02	-1.17984e+02
1.47810e-02	-1.18250e+02
1.48371e-02	-1.58004e+02
1.48380e-02	-1.58127e+02
1.48859e-02	-1.42808e+02
1.49360e-02	-1.26069e+02
1.49996e-02	-1.04194e+02
1.50000e-02	-1.04305e+02
1.50643e-02	-1.46512e+02
1.50650e-02	-1.46495e+02
1.50943e-02	-1.35877e+02
1.50950e-02	-1.36092e+02
1.51429e-02	-1.66536e+02
1.51623e-02	-1.78704e+02
1.51630e-02	-1.78667e+02
1.52110e-02	-1.59628e+02
1.52580e-02	-1.40367e+02
1.53103e-02	-1.18531e+02
1.53110e-02	-1.18709e+02
1.53841e-02	-1.61465e+02
1.53850e-02	-1.61479e+02
1.54083e-02	-1.51379e+02
1.54090e-02	-1.51545e+02
1.54647e-02	-1.83013e+02
1.54873e-02	-1.95521e+02
1.54880e-02	-1.95433e+02
1.55330e-02	-1.74344e+02
1.56029e-02	-1.40639e+02
1.56203e-02	-1.32166e+02
1.56210e-02	-1.32297e+02
1.57041e-02	-1.75286e+02
1.57050e-02	-1.75239e+02
1.57233e-02	-1.66089e+02
1.57240e-02	-1.66209e+02
1.57745e-02	-1.91445e+02
1.58123e-02	-2.09889e+02
1.58130e-02	-2.09754e+02
1.58460e-02	-1.92117e+02
1.59122e-02	-1.55985e+02
1.59313e-02	-1.45470e+02
1.59320e-02	-1.45556e+02
1.60241e-02	-1.87407e+02
1.60250e-02	-1.87304e+02
1.60393e-02	-1.79271e+02
1.60400e-02	-1.79347e+02
1.60809e-02	-1.97296e+02
1.61363e-02	-2.21028e+02
1.61370e-02	-2.20849e+02
1.61863e-02	-1.91353e+02
1.62413e-02	-1.57990e+02
1.62420e-02	-1.58035e+02
1.63421e-02	-1.97798e+02
1.63430e-02	-1.97644e+02
1.63553e-02	-1.90043e+02
1.63560e-02	-1.90080e+02
1.64160e-02	-2.12975e+02
1.64613e-02	-2.29752e+02
1.64620e-02	-2.29534e+02
1.65257e-02	-1.87826e+02
1.65523e-02	-1.70294e+02
1.65530e-02	-1.70303e+02
1.66447e-02	-2.02033e+02
1.66603e-02	-2.07330e+02
1.66610e-02	-2.07095e+02
1.66723e-02	-1.99535e+02
1.66730e-02	-1.99536e+02
1.67341e-02	-2.19786e+02
1.67853e-02	-2.36174e+02
1.67860e-02	-2.35922e+02
